instrument,class,precursorAdduct,fragment,ppmMassRange,group,ParKey,ParValue
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,5,0000157,shift,15.7385467057359
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,5,0000157,shift,20.3989950120551
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,5,0000157,shift,11.1279399398747
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,5,0000157,shift,250
MS:1002523,"11,12-DHET",[M-H]1-,m/z 58.0057,5,0000157,shift,2.795352562145
MS:1002523,"11,12-DHET",[M-H]1-,precursor,5,0000157,shift,250
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 149.0973,5,0000157,meanlog,4.66364333836255
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 167.1079,5,0000157,meanlog,3.9954600610881
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 180.1926,5,0000157,meanlog,3.94762060085542
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 197.1185,5,0000157,meanlog,3.7861201146083
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 330.2971,5,0000157,meanlog,5.61246706168821
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 58.0057,5,0000157,meanlog,4.77139902620856
MS:1002523,"11,12-DHET{d11}",[M-H]1-,precursor,5,0000157,meanlog,5.57171141702405
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 149.0973,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 167.1079,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 180.1926,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 197.1185,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 330.2971,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 58.0057,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,precursor,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 149.0973,5,0000157,scale,3.43004350523564
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 167.1079,5,0000157,scale,15.9616493653979
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 180.1926,5,0000157,scale,1.91912596848272
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 197.1185,5,0000157,scale,1.15659510548076
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 330.2971,5,0000157,scale,0.788800526339134
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 58.0057,5,0000157,scale,41.4724493476866
MS:1002523,"11,12-DHET{d11}",[M-H]1-,precursor,5,0000157,scale,19.3972950401278
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 149.0973,5,0000157,sdlog,0.146406741457758
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 167.1079,5,0000157,sdlog,0.253079458196006
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 180.1926,5,0000157,sdlog,0.174815229933583
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 197.1185,5,0000157,sdlog,0.232363243277075
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 330.2971,5,0000157,sdlog,0.026759589471323
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 58.0057,5,0000157,sdlog,0.482652007595764
MS:1002523,"11,12-DHET{d11}",[M-H]1-,precursor,5,0000157,sdlog,0.0317553461216679
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 149.0973,5,0000157,shift,48.9010078825921
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 167.1079,5,0000157,shift,15.7385467057359
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 180.1926,5,0000157,shift,20.3989950120551
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 197.1185,5,0000157,shift,11.1279399398747
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 330.2971,5,0000157,shift,250
MS:1002523,"11,12-DHET{d11}",[M-H]1-,m/z 58.0057,5,0000157,shift,2.795352562145
MS:1002523,"11,12-DHET{d11}",[M-H]1-,precursor,5,0000157,shift,250
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,5,0001307,meanlog,5.69119543140668
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,5,0001307,meanlog,5.63537854034518
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,5,0001307,meanlog,5.59922822535951
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,5,0001307,meanlog,5.58985659356165
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,5,0001307,meanlog,5.65071206539187
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,5,0001307,meanlog,5.61581648828793
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,5,0001307,meanlog,5.58649780456961
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,5,0001307,meanlog,4.57787303987571
MS:1002523,11(12)-EET,[M-H]1-,precursor,5,0001307,meanlog,2.75843693386586
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,precursor,5,0001307,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,5,0001307,scale,3.39712093025495
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,5,0001307,scale,9.81935318020013
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,5,0001307,scale,3.30906300863786
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,5,0001307,scale,1.0317678961763
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,5,0001307,scale,0.604125320795367
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,5,0001307,scale,1.84760283776638
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,5,0001307,scale,1.77675863024087
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,5,0001307,scale,23.6715610852237
MS:1002523,11(12)-EET,[M-H]1-,precursor,5,0001307,scale,8.65959121216536
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,5,0001307,sdlog,0.0517970800892346
