instrument,class,adduct,fragment,ParKey,ParValue
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,scale,0.059487011
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,sdlog,0.036315171
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.0789,meanlog,5.287446998
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.0789,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.0789,scale,0.042714846
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.0789,sdlog,0.025028123
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.0789,shift,185.7698772
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,meanlog,5.650712065
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,scale,0.017810765
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,sdlog,0.04497426
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.1804,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.1804,meanlog,8.425711712
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.1804,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.1804,scale,2
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.1804,sdlog,0.777772338
MS:1002791,11(12)-EET,[M-H]1-,m/z 203.1804,shift,250
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,meanlog,5.615816488
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,scale,0.076489858
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,sdlog,0.046079387
MS:1002523,11(12)-EET,[M-H]1-,m/z 257.2273,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 257.2273,meanlog,2.930979508
MS:1002791,11(12)-EET,[M-H]1-,m/z 257.2273,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 257.2273,scale,0.0575506
MS:1002791,11(12)-EET,[M-H]1-,m/z 257.2273,sdlog,0.436893654
MS:1002791,11(12)-EET,[M-H]1-,m/z 257.2273,shift,1.927038006
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,meanlog,5.586497805
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,model,dlnormPar
